HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,18336,2,2
1,17440,4,4
2,243104,23,23
3,39168,38,38
4,17632,46,46
5,704,80,80
6,704,102,102
7,704,124,124
8,704,146,146
9,704,168,168
10,12896,190,190
11,704,212,212
12,704,234,234
13,736,256,256
14,736,278,278
15,1056,300,300
16,27872,322,322
17,61184,344,344
18,107296,366,366
19,768,388,388
20,704,410,410
21,2176,432,432
22,9920,454,454
23,19520,476,476
24,34464,498,498
25,67008,520,520
26,60032,542,542
27,3936,564,564
28,704,586,586
29,7136,608,608
30,10560,630,630
31,13024,652,652
32,17920,674,674
33,28224,696,696
34,33248,718,718
35,2976,740,740
36,704,762,762
37,4256,784,784
38,6880,806,806
39,8576,828,828
40,11104,850,850
41,17952,872,872
42,20320,894,894
43,1696,916,916
44,736,938,938
45,2528,960,960
46,4896,982,982
47,5760,1004,1004
48,7424,1026,1026
49,10592,1048,1048
50,11584,1070,1070
51,1184,1092,1092
52,736,1114,1114
53,1664,1136,1136
54,3616,1158,1158
55,4448,1180,1180
56,5504,1202,1202
57,7264,1224,1224
58,8000,1246,1246
59,768,1268,1268
60,736,1290,1290
61,960,1312,1312
62,2752,1334,1334
63,3552,1356,1356
64,4320,1378,1378
65,5728,1400,1400
66,5568,1422,1422
67,736,1444,1444
68,704,1466,1466
69,79680,1499,1499
70,704,1535,1535
71,736,1567,1567
72,12644448,1584,1584
